Time_hh:mm:ss,Date,Line,Timestamp__ms_,Total_field_anomaly__nT_,Longitude__°_,Latitude__°_,Easting,Northing,Altitude__m_,Time,interpolated_magnetic_reading,diurnal_correction_magnetic,Heading_deg,FlightDirection_deg,directional_bias_huber,direction_corrected_huber,micro_bias_sg,TMI_micro_sg
2022-10-09 13:33:52,2022-10-09,18,20031508,41275.08,101.887235552106,4.5959314612584,820385.65113,508646.68511,515.7,2022-10-09 13:33:52,42024.599695443685,-749.5196954436833,0.17298537972726535,0,-67.04112,-682.4786,-5.0,-677.4786
2022-10-09 13:33:53,2022-10-09,18,20032508,41277.903000000006,101.887235854047,4.59597028701417,820385.6673,508650.98236,515.8,2022-10-09 13:33:53,42024.619792789905,-746.716792789899,0.21559564365713868,0,-67.04112,-679.67566,-5.0,-674.67566
2022-10-09 13:33:54,2022-10-09,18,20033508,41284.186,101.887236072429,4.5960110104323,820385.67334,508655.48959,515.85,2022-10-09 13:33:54,42024.642027303096,-740.4560273030947,0.07678026227534929,0,-67.04112,-673.4149,-5.0,-668.4149
2022-10-09 13:33:55,2022-10-09,18,20034508,41294.669,101.887236360915,4.59605330025173,820385.68646,508660.17022,515.9,2022-10-09 13:33:55,42024.666295670344,-729.9972956703423,0.16060202568280602,0,-67.04112,-662.9562,-5.0,-657.9562
2022-10-09 13:33:56,2022-10-09,18,20035508,41310.011,101.887236975923,4.59609627743496,820385.73554,508664.92708,515.9,2022-10-09 13:33:56,42024.692477108285,-714.6814771082863,0.5911414419002199,0,-67.04112,-647.6403,-5.0,-642.6403
2022-10-09 13:33:57,2022-10-09,18,20036509,41330.441999999995,101.887237807012,4.59613904709742,820385.80871,508669.66106,516.0,2022-10-09 13:33:57,42024.72041581202,-694.2784158120267,0.8855124835722563,0,-67.04112,-627.2373,-5.0,-622.2373
2022-10-09 13:33:58,2022-10-09,18,20037509,41354.932,101.887238601841,4.59618105711236,820385.87819,508674.31095,516.0,2022-10-09 13:33:58,42024.74993770495,-669.8179377049528,0.8560663847823093,0,-67.04112,-602.7768,-5.0,-597.7768
2022-10-09 13:33:59,2022-10-09,18,20038509,41381.691999999995,101.887239360209,4.59622241167509,820385.94392,508678.88828,515.9,2022-10-09 13:33:59,42024.78086138836,-643.0888613883653,0.8227051052659249,0,-67.04112,-576.0477,-5.0,-571.0477
2022-10-09 13:34:00,2022-10-09,18,20039509,41407.195,101.887240252742,4.59626030871974,820386.02609,508683.08301,515.85,2022-10-09 13:34:00,42024.81298211007,-617.6179821100668,1.1222157696672639,0,-67.04112,-550.57684,-5.0,-545.57684
2022-10-09 13:34:01,2022-10-09,18,20040509,41426.127,101.887240993013,4.59628725995946,820386.09625,508686.06621,516.11,2022-10-09 13:34:01,42024.846084573925,-598.7190845739242,1.347254954826326,0,-67.04112,-531.6779,-5.0,-526.6779
2022-10-09 13:34:02,2022-10-09,18,20041509,41440.037,101.887241230775,4.59630237634446,820386.11589,508687.73935,517.26,2022-10-09 13:34:02,42024.87993701076,-584.8429370107624,0.672530352156059,0,-67.04112,-517.8018,-5.0,-512.8018
2022-10-09 13:34:03,2022-10-09,18,20042509,41453.121,101.887241212472,4.59631161487022,820386.10973,508688.76184,519.17,2022-10-09 13:34:03,42024.91429220331,-571.7932922033142,359.6548252488154,0,-67.04112,-504.75214,-5.0,-499.75214
2022-10-09 13:34:04,2022-10-09,18,20043509,41463.759999999995,101.8872411177,4.59631656176204,820386.09699,508689.3093,521.73,2022-10-09 13:34:04,42024.948909690786,-561.1889096907908,358.6669044144219,0,-67.04112,-494.14777,-5.0,-489.14777
2022-10-09 13:34:05,2022-10-09,18,20044509,41472.928,101.887250872108,4.59631585524197,820387.18063,508689.23548,524.43,2022-10-09 13:34:05,42024.98355503827,-552.0555550382705,93.89709678241917,0,-67.04112,-485.0144,-5.0,-480.0144
2022-10-09 13:34:06,2022-10-09,18,20045509,41477.169,101.887249768707,4.59631322026886,820387.05926,508688.94336,527.07,2022-10-09 13:34:06,42025.01799308032,-547.8489930803189,202.56190444538004,0,-67.04112,-480.80786,-5.0,-475.80786
2022-10-09 13:34:07,2022-10-09,18,20046509,41485.659,101.887240833726,4.59631896072546,820386.06438,508689.57468,528.3,2022-10-09 13:34:07,42025.05198473031,-539.392984730308,302.3979452470581,0,-67.04112,-472.35187,-5.0,-467.35187
2022-10-09 13:34:08,2022-10-09,18,20047509,41491.128,101.887240859428,4.59632763455521,820386.06335,508690.53469,528.3,2022-10-09 13:34:08,42025.08530719015,-533.9573071901541,359.9385270645881,0,-67.04112,-466.9162,-5.0,-461.9162
