Time,interpolated_magnetic_reading
2022-10-07 17:38:39,41906.18592105702
2022-10-07 17:38:40,41906.18174163539
2022-10-07 17:38:41,41906.17793774466
2022-10-07 17:38:42,41906.17451241135
2022-10-07 17:38:43,41906.17146758592
2022-10-07 17:38:44,41906.16879361821
2022-10-07 17:38:45,41906.16647153186
2022-10-07 17:38:46,41906.164492920296
2022-10-07 17:38:47,41906.16284863164
2022-10-07 17:38:48,41906.16152376412
2022-10-07 17:38:49,41906.16051119927
2022-10-07 17:38:50,41906.159803001014
2022-10-07 17:38:51,41906.15938833589
2022-10-07 17:38:52,41906.15925242818
2022-10-07 17:38:53,41906.15938583039
2022-10-07 17:38:54,41906.1597881535
2022-10-07 17:38:55,41906.160452047545
2022-10-07 17:38:56,41906.16136978113
2022-10-07 17:38:57,41906.162537771655
2022-10-07 17:38:58,41906.16395658237
2022-10-07 17:38:59,41906.1656322868
2022-10-07 17:39:00,41906.16757313504
2022-10-07 17:39:01,41906.16978718823
2022-10-07 17:39:02,41906.17228983035
2022-10-07 17:39:03,41906.17510185948
2022-10-07 17:39:04,41906.178237380955
2022-10-07 17:39:05,41906.18170983703
2022-10-07 17:39:06,41906.18554043614
2022-10-07 17:39:07,41906.189754876665
2022-10-07 17:39:08,41906.19436792797
2022-10-07 17:39:09,41906.1993898048
2022-10-07 17:39:10,41906.20482781132
2022-10-07 17:39:11,41906.21067117914
2022-10-07 17:39:12,41906.21690936725
2022-10-07 17:39:13,41906.22351579012
2022-10-07 17:39:14,41906.230450576324
2022-10-07 17:39:15,41906.237667089714
2022-10-07 17:39:16,41906.24509703989
2022-10-07 17:39:17,41906.25265391531
2022-10-07 17:39:18,41906.26024377538
2022-10-07 17:39:19,41906.26776511591
2022-10-07 17:39:20,41906.275101928695
2022-10-07 17:39:21,41906.282127278086
2022-10-07 17:39:22,41906.28871224018
2022-10-07 17:39:23,41906.29473401912
2022-10-07 17:39:24,41906.30006994103
2022-10-07 17:39:25,41906.30459806597
2022-10-07 17:39:26,41906.30821421699
2022-10-07 17:39:27,41906.31082914085
2022-10-07 17:39:28,41906.312368963336
2022-10-07 17:39:29,41906.3127771769
2022-10-07 17:39:30,41906.312020106256
2022-10-07 17:39:31,41906.31009171656
2022-10-07 17:39:32,41906.30700607586
2022-10-07 17:39:33,41906.30280416212
2022-10-07 17:39:34,41906.297555465666
2022-10-07 17:39:35,41906.291355751695
2022-10-07 17:39:36,41906.284313920914
2022-10-07 17:39:37,41906.27654755397
2022-10-07 17:39:38,41906.268199753074
2022-10-07 17:39:39,41906.259429385245
2022-10-07 17:39:40,41906.25039019383
2022-10-07 17:39:41,41906.24123488913
2022-10-07 17:39:42,41906.23212542414
2022-10-07 17:39:43,41906.22321938298
2022-10-07 17:39:44,41906.214656410404
2022-10-07 17:39:45,41906.20656398664
2022-10-07 17:39:46,41906.19905386289
2022-10-07 17:39:47,41906.19222280299
2022-10-07 17:39:48,41906.186151701666
2022-10-07 17:39:49,41906.18089762139
2022-10-07 17:39:50,41906.176499740606
2022-10-07 17:39:51,41906.17298132205
2022-10-07 17:39:52,41906.170340617595
2022-10-07 17:39:53,41906.16856092541
2022-10-07 17:39:54,41906.167614614475
2022-10-07 17:39:55,41906.16746730787
2022-10-07 17:39:56,41906.1680749937
2022-10-07 17:39:57,41906.16938254505
2022-10-07 17:39:58,41906.171334062274
2022-10-07 17:39:59,41906.1738775236
2022-10-07 17:40:00,41906.17696174504
2022-10-07 17:40:01,41906.18053973623
2022-10-07 17:40:02,41906.18456196218
2022-10-07 17:40:03,41906.18899038135
2022-10-07 17:40:04,41906.19380176443
2022-10-07 17:40:05,41906.198979333465
2022-10-07 17:40:06,41906.20450220778
2022-10-07 17:40:07,41906.21036299067
2022-10-07 17:40:08,41906.21656187883
2022-10-07 17:40:09,41906.223098449715
2022-10-07 17:40:10,41906.22997333893
2022-10-07 17:40:11,41906.237184927624
2022-10-07 17:40:12,41906.24473376526
2022-10-07 17:40:13,41906.25261707297
2022-10-07 17:40:14,41906.2608233978
2022-10-07 17:40:15,41906.26933378561
2022-10-07 17:40:16,41906.278123286516
2022-10-07 17:40:17,41906.287160305335
2022-10-07 17:40:18,41906.29640446865
2022-10-07 17:40:19,41906.30580469551
2022-10-07 17:40:20,41906.31530680966
2022-10-07 17:40:21,41906.324858666834
2022-10-07 17:40:22,41906.33439687055
2022-10-07 17:40:23,41906.34385189649
2022-10-07 17:40:24,41906.353158658945
2022-10-07 17:40:25,41906.36225209734
2022-10-07 17:40:26,41906.37107308061
2022-10-07 17:40:27,41906.379571341255
2022-10-07 17:40:28,41906.3877008744
2022-10-07 17:40:29,41906.395422375994
2022-10-07 17:40:30,41906.40270683923
2022-10-07 17:40:31,41906.409536458945
2022-10-07 17:40:32,41906.41590193038
2022-10-07 17:40:33,41906.421805833525
2022-10-07 17:40:34,41906.427261064004
2022-10-07 17:40:35,41906.43229081706
2022-10-07 17:40:36,41906.436927567585
2022-10-07 17:40:37,41906.44120983274
2022-10-07 17:40:38,41906.445181213516
2022-10-07 17:40:39,41906.44889240496
2022-10-07 17:40:40,41906.45239100093
2022-10-07 17:40:41,41906.45572675937
2022-10-07 17:40:42,41906.45894282829
2022-10-07 17:40:43,41906.46207606296
2022-10-07 17:40:44,41906.46516058274
2022-10-07 17:40:45,41906.46821975949
2022-10-07 17:40:46,41906.471262852225
2022-10-07 17:40:47,41906.47428198009
2022-10-07 17:40:48,41906.477248995674
2022-10-07 17:40:49,41906.480129903786
2022-10-07 17:40:50,41906.482871137276
2022-10-07 17:40:51,41906.48539262352
2022-10-07 17:40:52,41906.48760128381
2022-10-07 17:40:53,41906.48939374867
2022-10-07 17:40:54,41906.490661773125
2022-10-07 17:40:55,41906.4912930627
2022-10-07 17:40:56,41906.49115738274
2022-10-07 17:40:57,41906.490128349324
2022-10-07 17:40:58,41906.488097271285
2022-10-07 17:40:59,41906.48495904268
2022-10-07 17:41:00,41906.480628045945
2022-10-07 17:41:01,41906.4750337267
2022-10-07 17:41:02,41906.46812921264
2022-10-07 17:41:03,41906.45990262204
2022-10-07 17:41:04,41906.450366523466
2022-10-07 17:41:05,41906.439561734376
2022-10-07 17:41:06,41906.42756556208
2022-10-07 17:41:07,41906.41448567747
2022-10-07 17:41:08,41906.40044966995
2022-10-07 17:41:09,41906.385612313505
2022-10-07 17:41:10,41906.37015342235
2022-10-07 17:41:11,41906.35427572453
2022-10-07 17:41:12,41906.33818882704
2022-10-07 17:41:13,41906.32210626996
2022-10-07 17:41:14,41906.306242612074
2022-10-07 17:41:15,41906.29080579887
2022-10-07 17:41:16,41906.27599952817
2022-10-07 17:41:17,41906.262011490784
2022-10-07 17:41:18,41906.24900495036
2022-10-07 17:41:19,41906.23712720785
2022-10-07 17:41:20,41906.226506475956
2022-10-07 17:41:21,41906.21724193537
2022-10-07 17:41:22,41906.20939775458
2022-10-07 17:41:23,41906.20300432311
2022-10-07 17:41:24,41906.19807582097
2022-10-07 17:41:25,41906.194605640994
2022-10-07 17:41:26,41906.1925530603
2022-10-07 17:41:27,41906.1918480094
2022-10-07 17:41:28,41906.19239924011
2022-10-07 17:41:29,41906.19410958102
2022-10-07 17:41:30,41906.196862662255
2022-10-07 17:41:31,41906.20052367248
2022-10-07 17:41:32,41906.204954388595
2022-10-07 17:41:33,41906.210008694055
2022-10-07 17:41:34,41906.215535970274
2022-10-07 17:41:35,41906.221380467905
2022-10-07 17:41:36,41906.227385182254
2022-10-07 17:41:37,41906.233404298786
2022-10-07 17:41:38,41906.23929539289
2022-10-07 17:41:39,41906.24491663224
2022-10-07 17:41:40,41906.250139030504
2022-10-07 17:41:41,41906.25485325121
2022-10-07 17:41:42,41906.25896212754
2022-10-07 17:41:43,41906.26237666422
2022-10-07 17:41:44,41906.2650274561
2022-10-07 17:41:45,41906.266861194505
2022-10-07 17:41:46,41906.26784439122
2022-10-07 17:41:47,41906.267954420124
2022-10-07 17:41:48,41906.26718628089
2022-10-07 17:41:49,41906.26556609116
2022-10-07 17:41:50,41906.26313677432
2022-10-07 17:41:51,41906.25995012853
2022-10-07 17:41:52,41906.256067415066
2022-10-07 17:41:53,41906.25158273222
2022-10-07 17:41:54,41906.24660176065
2022-10-07 17:41:55,41906.24122479408
2022-10-07 17:41:56,41906.23556769888
2022-10-07 17:41:57,41906.229752662206
2022-10-07 17:41:58,41906.22390428699
2022-10-07 17:41:59,41906.2181528004
2022-10-07 17:42:00,41906.212627378
2022-10-07 17:42:01,41906.20744736432
2022-10-07 17:42:02,41906.202719964305
2022-10-07 17:42:03,41906.19855241946
2022-10-07 17:42:04,41906.195039591265
2022-10-07 17:42:05,41906.192247791325
2022-10-07 17:42:06,41906.19023222443
2022-10-07 17:42:07,41906.18904041996
2022-10-07 17:42:08,41906.18869614152
2022-10-07 17:42:09,41906.18920345319
2022-10-07 17:42:10,41906.190549451225
2022-10-07 17:42:11,41906.19270043382
2022-10-07 17:42:12,41906.19559425327
2022-10-07 17:42:13,41906.19916786886
2022-10-07 17:42:14,41906.20335270545
2022-10-07 17:42:15,41906.20805225447
2022-10-07 17:42:16,41906.21316238904
2022-10-07 17:42:17,41906.21857359356
2022-10-07 17:42:18,41906.224176759235
2022-10-07 17:42:19,41906.229857007966
2022-10-07 17:42:20,41906.235492641674
2022-10-07 17:42:21,41906.240972213855
2022-10-07 17:42:22,41906.246192110055
2022-10-07 17:42:23,41906.25104635311
2022-10-07 17:42:24,41906.2554414153
2022-10-07 17:42:25,41906.259299471
2022-10-07 17:42:26,41906.26254571016
2022-10-07 17:42:27,41906.265119516895
2022-10-07 17:42:28,41906.26697438113
2022-10-07 17:42:29,41906.26806901849
2022-10-07 17:42:30,41906.26837592103
2022-10-07 17:42:31,41906.26787767438
2022-10-07 17:42:32,41906.266569680214
2022-10-07 17:42:33,41906.26446018268
2022-10-07 17:42:34,41906.26156112984
2022-10-07 17:42:35,41906.25789182972
2022-10-07 17:42:36,41906.253489130846
2022-10-07 17:42:37,41906.24838814888
2022-10-07 17:42:38,41906.24262988577
2022-10-07 17:42:39,41906.236278638266
2022-10-07 17:42:40,41906.22940305667
2022-10-07 17:42:41,41906.22206481626
2022-10-07 17:42:42,41906.214338094775
2022-10-07 17:42:43,41906.20630437579
2022-10-07 17:42:44,41906.19804726458
2022-10-07 17:42:45,41906.189655602415
2022-10-07 17:42:46,41906.1812292024
2022-10-07 17:42:47,41906.172870074675
2022-10-07 17:42:48,41906.164676082
2022-10-07 17:42:49,41906.156742343344
2022-10-07 17:42:50,41906.14917672901
2022-10-07 17:42:51,41906.142090467154
2022-10-07 17:42:52,41906.13558406642
